judged_run,generator,category,n_pass,pass_rate,n_score,mean_score
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,Algebra,22,0.18181818181818182,23,0.45304347826086955
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,Calculus,24,0.20833333333333334,24,0.48625
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,Applied Mathematics,16,0.25,15,0.5980000000000001
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,Geometry,18,0.2222222222222222,18,0.5238888888888888
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,Discrete Mathematics,24,0.16666666666666666,24,0.42791666666666667
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,Linear Algebra,11,0.18181818181818182,11,0.5563636363636364
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,Number Theory,14,0.07142857142857142,14,0.48071428571428576
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,Other,1,0.0,1,0.19
deepseekmath_7b_rl,DeepSeekMath-7B-RL,Algebra,23,0.30434782608695654,22,0.49318181818181817
deepseekmath_7b_rl,DeepSeekMath-7B-RL,Calculus,22,0.13636363636363635,24,0.56125
deepseekmath_7b_rl,DeepSeekMath-7B-RL,Applied Mathematics,16,0.375,16,0.608125
deepseekmath_7b_rl,DeepSeekMath-7B-RL,Geometry,18,0.6666666666666666,16,0.730625
deepseekmath_7b_rl,DeepSeekMath-7B-RL,Discrete Mathematics,23,0.34782608695652173,22,0.49
deepseekmath_7b_rl,DeepSeekMath-7B-RL,Linear Algebra,11,0.36363636363636365,12,0.7008333333333333
deepseekmath_7b_rl,DeepSeekMath-7B-RL,Number Theory,14,0.2857142857142857,14,0.5171428571428571
deepseekmath_7b_rl,DeepSeekMath-7B-RL,Other,1,0.0,1,0.43
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),Algebra,23,0.6086956521739131,23,0.7382608695652174
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),Calculus,23,0.8695652173913043,24,0.835
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),Applied Mathematics,16,0.75,16,0.779375
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),Geometry,18,0.6666666666666666,18,0.8358333333333333
