judge,judged_run,generator,n_score,mean_score,n_pass,pass_rate,peer_mean_score,score_leniency_delta,peer_pass_rate,pass_leniency_delta,judge_model,relation,generator_flagged_degenerate
gemma4_e4b_non_thinking,deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,132,0.5315909090909091,132,0.13636363636363635,0.5448164335664336,-0.013225524475524497,0.33473193473193474,-0.1983682983682984,Gemma4-E4B (non-thinking),different model,False
gemma4_e4b_non_thinking,deepseekmath_7b_rl,DeepSeekMath-7B-RL,132,0.6189015151515153,132,0.2196969696969697,0.6259782868050585,-0.007076771653543257,0.48866889312977096,-0.2689719234328013,Gemma4-E4B (non-thinking),different model,False
gemma4_e4b_non_thinking,gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),132,0.9193560606060607,132,0.8484848484848485,0.8178598484848485,0.10149621212121218,0.8551353226925746,-0.006650474207726131,Gemma4-E4B (non-thinking),self (identical model+mode),False
gemma4_e4b_non_thinking,gemma4_e4b_thinking,Gemma4-E4B (thinking),132,0.0,132,0.007575757575757576,0.0,0.0,0.007575757575757576,0.0,Gemma4-E4B (non-thinking),same family (different mode),True
gemma4_e4b_non_thinking,qwen2.5_math_7b,Qwen2.5-Math-7B,132,0.7557575757575759,132,0.3560606060606061,0.759912098080037,-0.004154522322461163,0.697561553030303,-0.3415009469696969,Gemma4-E4B (non-thinking),different model,False
gemma4_e4b_non_thinking,qwen3_8b_non_thinking,Qwen3-8B (non-thinking),132,0.8917045454545455,131,0.6641221374045801,0.8361730769230769,0.05553146853146862,0.8346546863988724,-0.17053254899429227,Gemma4-E4B (non-thinking),different model,False
gemma4_e4b_non_thinking,qwen3_8b_thinking,Qwen3-8B (thinking),132,0.8768939393939394,132,0.6060606060606061,0.884693446088795,-0.007799506694855518,0.9072410147991543,-0.30118040873854823,Gemma4-E4B (non-thinking),different model,False
qwen3_8b_non_thinking,deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,132,0.5988636363636364,132,0.48484848484848486,0.5111800699300699,0.08768356643356645,0.1604895104895105,0.3243589743589744,Qwen3-8B (non-thinking),different model,False
qwen3_8b_non_thinking,deepseekmath_7b_rl,DeepSeekMath-7B-RL,132,0.6803030303030303,131,0.6335877862595419,0.5952775292293009,0.08502550107372941,0.28172348484848486,0.35186430141105707,Qwen3-8B (non-thinking),different model,False
qwen3_8b_non_thinking,gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),132,0.8319696969696969,132,0.9545454545454546,0.8615530303030303,-0.029583333333333406,0.8021050196622717,0.15244043488318293,Qwen3-8B (non-thinking),different model,False
qwen3_8b_non_thinking,gemma4_e4b_thinking,Gemma4-E4B (thinking),132,0.0,132,0.015151515151515152,0.0,0.0,0.003787878787878788,0.011363636363636364,Qwen3-8B (non-thinking),different model,True
qwen3_8b_non_thinking,qwen2.5_math_7b,Qwen2.5-Math-7B,132,0.803030303030303,132,0.8560606060606061,0.7362757344436734,0.06675456858662954,0.44756155303030304,0.40849905303030304,Qwen3-8B (non-thinking),different model,False
qwen3_8b_non_thinking,qwen3_8b_non_thinking,Qwen3-8B (non-thinking),132,0.85,132,0.8863636363636364,0.8570253496503497,-0.007025349650349733,0.7235339369193443,0.16282969944429204,Qwen3-8B (non-thinking),self (identical model+mode),False
qwen3_8b_non_thinking,qwen3_8b_thinking,Qwen3-8B (thinking),132,0.8863636363636364,132,0.9772727272727273,0.8799585976039465,0.006405038759689896,0.7216349541930938,0.25563777307963353,Qwen3-8B (non-thinking),same family (different mode),False
qwen3_8b_thinking,deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,130,0.49076923076923074,130,0.18461538461538463,0.5652272727272727,-0.07445804195804195,0.3106060606060606,-0.12599067599067598,Qwen3-8B (thinking),different model,False
qwen3_8b_thinking,deepseekmath_7b_rl,DeepSeekMath-7B-RL,127,0.5716535433070866,128,0.34375,0.6496022727272728,-0.07794872942018616,0.4266423779782558,-0.08289237797825583,Qwen3-8B (thinking),different model,False
qwen3_8b_thinking,gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),132,0.80375,131,0.7557251908396947,0.8756628787878789,-0.07191287878787889,0.9015151515151516,-0.1457899606754569,Qwen3-8B (thinking),different model,False
qwen3_8b_thinking,gemma4_e4b_thinking,Gemma4-E4B (thinking),132,0.0,132,0.0,0.0,0.0,0.011363636363636364,-0.011363636363636364,Qwen3-8B (thinking),different model,True
qwen3_8b_thinking,qwen2.5_math_7b,Qwen2.5-Math-7B,131,0.716793893129771,128,0.5390625,0.7793939393939394,-0.06260004626416837,0.6060606060606061,-0.06699810606060608,Qwen3-8B (thinking),different model,False
qwen3_8b_thinking,qwen3_8b_non_thinking,Qwen3-8B (non-thinking),130,0.8223461538461538,129,0.7829457364341085,0.8708522727272727,-0.04850611888111889,0.7752428868841083,0.007702849550000224,Qwen3-8B (thinking),same family (different mode),False
qwen3_8b_thinking,qwen3_8b_thinking,Qwen3-8B (thinking),129,0.8830232558139535,129,0.8372093023255814,0.8816287878787878,0.001394467935165622,0.7916666666666667,0.0455426356589147,Qwen3-8B (thinking),self (identical model+mode),False
