judged_run,generator,difficulty,n_pass,pass_rate,n_score,mean_score
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),5.0,14,0.7857142857142857,14,0.9142857142857144
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),5.5,14,0.8571428571428571,14,0.9657142857142856
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),6.0,14,0.8571428571428571,14,0.9314285714285714
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),6.5,14,0.7857142857142857,14,0.8789285714285714
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),7.0,14,0.7142857142857143,14,0.7982142857142858
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),7.5,1,1.0,1,0.89
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),8.0,14,0.7142857142857143,14,0.8964285714285715
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),8.5,5,0.2,5,0.66
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),9.0,14,0.6428571428571429,14,0.8282142857142858
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),9.5,14,0.5714285714285714,14,0.7671428571428571
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),10.0,14,0.8571428571428571,14,0.9196428571428571
gemma4_e4b_thinking,Gemma4-E4B (thinking),5.0,14,0.7142857142857143,14,0.9714285714285714
gemma4_e4b_thinking,Gemma4-E4B (thinking),5.5,14,0.9285714285714286,14,0.9857142857142858
gemma4_e4b_thinking,Gemma4-E4B (thinking),6.0,14,0.8571428571428571,14,0.9435714285714286
gemma4_e4b_thinking,Gemma4-E4B (thinking),6.5,14,0.9285714285714286,14,0.9574999999999999
gemma4_e4b_thinking,Gemma4-E4B (thinking),7.0,14,0.6428571428571429,14,0.8996428571428572
gemma4_e4b_thinking,Gemma4-E4B (thinking),7.5,1,1.0,1,0.935
gemma4_e4b_thinking,Gemma4-E4B (thinking),8.0,14,0.8571428571428571,14,0.9039285714285714
gemma4_e4b_thinking,Gemma4-E4B (thinking),8.5,5,0.6,5,0.628
gemma4_e4b_thinking,Gemma4-E4B (thinking),9.0,14,0.7857142857142857,14,0.8471428571428571
gemma4_e4b_thinking,Gemma4-E4B (thinking),9.5,14,0.7142857142857143,14,0.7689285714285715
gemma4_e4b_thinking,Gemma4-E4B (thinking),10.0,14,0.9285714285714286,14,0.9657142857142856
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),5.0,14,0.7857142857142857,14,0.8492857142857143
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),5.5,14,0.7142857142857143,14,0.8807142857142857
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),6.0,14,0.8571428571428571,14,0.9339285714285713
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),6.5,14,0.6428571428571429,14,0.8182142857142857
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),7.0,14,0.42857142857142855,14,0.7157142857142856
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),7.5,1,0.0,1,0.985
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),8.0,14,0.7142857142857143,14,0.8257142857142857
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),8.5,5,0.0,5,0.45199999999999996
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),9.0,14,0.5714285714285714,14,0.7267857142857144
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),9.5,14,0.5714285714285714,14,0.6035714285714285
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),10.0,14,0.7142857142857143,14,0.8621428571428572
qwen3_8b_thinking,Qwen3-8B (thinking),5.0,12,0.75,12,0.8849999999999999
qwen3_8b_thinking,Qwen3-8B (thinking),5.5,12,0.8333333333333334,12,0.9404166666666667
qwen3_8b_thinking,Qwen3-8B (thinking),6.0,10,0.9,10,0.944
qwen3_8b_thinking,Qwen3-8B (thinking),6.5,9,0.5555555555555556,9,0.9611111111111111
qwen3_8b_thinking,Qwen3-8B (thinking),7.0,3,0.0,3,0.7933333333333333
qwen3_8b_thinking,Qwen3-8B (thinking),7.5,1,1.0,1,0.9
qwen3_8b_thinking,Qwen3-8B (thinking),8.0,14,0.7142857142857143,14,0.7889285714285714
qwen3_8b_thinking,Qwen3-8B (thinking),8.5,5,0.0,5,0.602
qwen3_8b_thinking,Qwen3-8B (thinking),9.0,9,0.5555555555555556,9,0.7072222222222222
qwen3_8b_thinking,Qwen3-8B (thinking),9.5,10,0.7,10,0.714
qwen3_8b_thinking,Qwen3-8B (thinking),10.0,11,0.9090909090909091,11,0.8413636363636364
