judged_run,generator,difficulty,n_pass,pass_rate,n_score,mean_score
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),5.0,13,0.6923076923076923,14,0.8492857142857143
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),5.5,14,0.8571428571428571,14,0.885
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),6.0,14,0.9285714285714286,14,0.8992857142857142
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),6.5,14,0.7857142857142857,14,0.7925000000000001
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),7.0,14,0.7142857142857143,14,0.7492857142857143
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),7.5,1,1.0,1,0.8
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),8.0,14,0.7857142857142857,14,0.84
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),8.5,5,0.4,5,0.55
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),9.0,14,0.6428571428571429,14,0.7328571428571429
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),9.5,14,0.6428571428571429,14,0.7242857142857143
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),10.0,14,0.8571428571428571,14,0.8521428571428571
gemma4_e4b_thinking,Gemma4-E4B (thinking),5.0,12,0.6666666666666666,12,0.8816666666666667
gemma4_e4b_thinking,Gemma4-E4B (thinking),5.5,14,0.9285714285714286,13,0.9711538461538461
gemma4_e4b_thinking,Gemma4-E4B (thinking),6.0,14,0.8571428571428571,14,0.8964285714285715
gemma4_e4b_thinking,Gemma4-E4B (thinking),6.5,13,0.8461538461538461,14,0.8928571428571429
gemma4_e4b_thinking,Gemma4-E4B (thinking),7.0,11,0.6363636363636364,13,0.7876923076923077
gemma4_e4b_thinking,Gemma4-E4B (thinking),7.5,1,1.0,1,0.74
gemma4_e4b_thinking,Gemma4-E4B (thinking),8.0,14,0.7857142857142857,14,0.8724999999999999
gemma4_e4b_thinking,Gemma4-E4B (thinking),8.5,5,0.4,5,0.642
gemma4_e4b_thinking,Gemma4-E4B (thinking),9.0,12,0.9166666666666666,14,0.845
gemma4_e4b_thinking,Gemma4-E4B (thinking),9.5,14,0.6428571428571429,13,0.7976923076923078
gemma4_e4b_thinking,Gemma4-E4B (thinking),10.0,14,0.9285714285714286,14,0.85
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),5.0,14,0.8571428571428571,14,0.9039285714285714
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),5.5,14,0.8571428571428571,14,0.8875000000000001
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),6.0,14,1.0,14,0.9571428571428572
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),6.5,14,0.6428571428571429,14,0.7978571428571428
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),7.0,13,0.6923076923076923,14,0.7428571428571429
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),7.5,1,1.0,1,1.0
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),8.0,14,0.8571428571428571,14,0.8567857142857143
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),8.5,5,0.2,5,0.55
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),9.0,14,0.7857142857142857,14,0.7557142857142857
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),9.5,14,0.7142857142857143,14,0.7542857142857143
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),10.0,14,0.7857142857142857,14,0.8514285714285714
qwen3_8b_thinking,Qwen3-8B (thinking),5.0,14,0.7142857142857143,14,0.9092857142857144
qwen3_8b_thinking,Qwen3-8B (thinking),5.5,14,0.8571428571428571,14,0.9471428571428572
qwen3_8b_thinking,Qwen3-8B (thinking),6.0,14,0.9285714285714286,14,0.9714285714285714
qwen3_8b_thinking,Qwen3-8B (thinking),6.5,14,0.9285714285714286,13,0.9400000000000001
qwen3_8b_thinking,Qwen3-8B (thinking),7.0,14,0.7857142857142857,14,0.8099999999999999
qwen3_8b_thinking,Qwen3-8B (thinking),7.5,1,0.0,1,0.87
qwen3_8b_thinking,Qwen3-8B (thinking),8.0,14,0.8571428571428571,14,0.8028571428571428
qwen3_8b_thinking,Qwen3-8B (thinking),8.5,5,0.6,5,0.7470000000000001
qwen3_8b_thinking,Qwen3-8B (thinking),9.0,14,0.6428571428571429,14,0.8200000000000001
qwen3_8b_thinking,Qwen3-8B (thinking),9.5,14,0.8571428571428571,14,0.8014285714285715
qwen3_8b_thinking,Qwen3-8B (thinking),10.0,13,1.0,14,0.9439285714285715
