judged_run,generator,difficulty,n_pass,pass_rate,n_score,mean_score
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,5.0,13,0.15384615384615385,13,0.5684615384615385
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,5.5,13,0.23076923076923078,14,0.5185714285714286
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,6.0,14,0.42857142857142855,14,0.655
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,6.5,14,0.14285714285714285,14,0.40714285714285714
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,7.0,14,0.07142857142857142,14,0.4042857142857143
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,7.5,1,0.0,1,0.36
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,8.0,14,0.0,14,0.455
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,8.5,5,0.2,5,0.21600000000000003
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,9.0,14,0.14285714285714285,14,0.4842857142857143
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,9.5,14,0.14285714285714285,14,0.39571428571428574
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,10.0,14,0.35714285714285715,13,0.6530769230769231
deepseekmath_7b_rl,DeepSeekMath-7B-RL,5.0,13,0.3076923076923077,13,0.5323076923076923
deepseekmath_7b_rl,DeepSeekMath-7B-RL,5.5,12,0.4166666666666667,14,0.6050000000000001
deepseekmath_7b_rl,DeepSeekMath-7B-RL,6.0,14,0.5,14,0.6664285714285715
deepseekmath_7b_rl,DeepSeekMath-7B-RL,6.5,14,0.42857142857142855,14,0.5964285714285714
deepseekmath_7b_rl,DeepSeekMath-7B-RL,7.0,14,0.0,14,0.4692857142857143
deepseekmath_7b_rl,DeepSeekMath-7B-RL,7.5,1,0.0,1,0.51
deepseekmath_7b_rl,DeepSeekMath-7B-RL,8.0,13,0.38461538461538464,14,0.6242857142857143
deepseekmath_7b_rl,DeepSeekMath-7B-RL,8.5,5,0.0,5,0.41400000000000003
deepseekmath_7b_rl,DeepSeekMath-7B-RL,9.0,14,0.21428571428571427,13,0.4730769230769231
deepseekmath_7b_rl,DeepSeekMath-7B-RL,9.5,14,0.2857142857142857,11,0.49727272727272726
deepseekmath_7b_rl,DeepSeekMath-7B-RL,10.0,14,0.7142857142857143,14,0.7157142857142856
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),5.0,13,0.6923076923076923,14,0.8492857142857143
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),5.5,14,0.8571428571428571,14,0.885
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),6.0,14,0.9285714285714286,14,0.8992857142857142
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),6.5,14,0.7857142857142857,14,0.7925000000000001
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),7.0,14,0.7142857142857143,14,0.7492857142857143
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),7.5,1,1.0,1,0.8
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),8.0,14,0.7857142857142857,14,0.84
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),8.5,5,0.4,5,0.55
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),9.0,14,0.6428571428571429,14,0.7328571428571429
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),9.5,14,0.6428571428571429,14,0.7242857142857143
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),10.0,14,0.8571428571428571,14,0.8521428571428571
gemma4_e4b_thinking,Gemma4-E4B (thinking),5.0,14,0.0,14,0.0
gemma4_e4b_thinking,Gemma4-E4B (thinking),5.5,14,0.0,14,0.0
gemma4_e4b_thinking,Gemma4-E4B (thinking),6.0,14,0.0,14,0.0
gemma4_e4b_thinking,Gemma4-E4B (thinking),6.5,14,0.0,14,0.0
gemma4_e4b_thinking,Gemma4-E4B (thinking),7.0,14,0.0,14,0.0
gemma4_e4b_thinking,Gemma4-E4B (thinking),7.5,1,0.0,1,0.0
gemma4_e4b_thinking,Gemma4-E4B (thinking),8.0,14,0.0,14,0.0
gemma4_e4b_thinking,Gemma4-E4B (thinking),8.5,5,0.0,5,0.0
gemma4_e4b_thinking,Gemma4-E4B (thinking),9.0,14,0.0,14,0.0
gemma4_e4b_thinking,Gemma4-E4B (thinking),9.5,14,0.0,14,0.0
gemma4_e4b_thinking,Gemma4-E4B (thinking),10.0,14,0.0,14,0.0
qwen2.5_math_7b,Qwen2.5-Math-7B,5.0,14,0.7142857142857143,13,0.8246153846153846
